Generic Name,Common Brands / Examples,Drug Class,Typical Adult Dose (simple),Use (patient-friendly),One-line caution / safety note,Extra note (interactions/allergy/monitoring),When to see doctor / red flags
Paracetamol,"Crocin, Calpol, Tylenol",Analgesic / Antipyretic,500–1000 mg every 4–6 hrs (max 3 g/day),"Used to reduce fever and relieve mild to moderate pain (headache, body pain).",Do not exceed recommended dose; check if taking other medicines containing paracetamol.,Safe if used as directed; avoid alcohol with high doses.,If fever >3 days or severe pain
Ibuprofen,"Brufen, Advil, Motrin",NSAID (painkiller),200–400 mg every 4–6 hrs (max 1200 mg/day OTC),"Relieves pain, inflammation (sprains, muscle pain), and fever.",Take with food to avoid stomach upset; avoid if stomach ulcers.,Can increase bleeding risk; avoid long-term without doctor.,"If severe stomach pain, blood in stool, or allergic reaction"
Aspirin,"Disprin, Ecosprin",NSAID / Antiplatelet,300–600 mg for pain; low-dose 75–100 mg for heart protection,Used for pain/fever and low-dose used to prevent heart attacks.,Not for children with viral illness (risk of Reye's); can cause stomach bleeding.,Avoid before surgery unless advised by doctor.,If signs of bleeding or severe stomach pain
Diclofenac,"Voveran, Cataflam",NSAID,50 mg twice daily,"Used for moderate pain and inflammation (arthritis, injuries).",Take with food; avoid if you have heart disease or stomach ulcers.,Long term use may increase heart risks.,"If chest pain, breathlessness, or severe abdominal pain"
Naproxen,"Naprosyn, Aleve",NSAID,220–500 mg twice daily,"Used for pain and inflammation (muscle pain, arthritis).",Take with food; may upset stomach; avoid in heart disease unless advised.,Can cause dizziness; avoid heavy alcohol.,If severe stomach bleeding or allergic reaction
Amoxicillin,"Amoxil, Mox",Antibiotic (penicillin),500 mg every 8 hrs or 875 mg twice daily,"Treats bacterial infections like ear infections, sore throat, some chest infections.",Do not share antibiotics; complete full prescribed course even if better.,Check penicillin allergy before taking.,"If rash, difficulty breathing, or severe diarrhea"
Azithromycin,"Zithromax, Azithro",Antibiotic (macrolide),500 mg day 1 then 250 mg daily for 2–4 days (depends),Used for certain bacterial infections such as some throat and chest infections.,Do not share; complete course; some heart conditions need caution.,Can cause stomach upset; report severe diarrhea.,If fast irregular heartbeat or severe allergic reaction
Ciprofloxacin,"Ciprobay, Cipla Ciprofloxacin",Antibiotic (fluoroquinolone),500 mg twice daily (varies),"Used for certain serious bacterial infections (urinary, some gut infections).",Not for mild infections; can cause tendon problems; do not share.,Avoid in children and during pregnancy unless advised.,"If tendon pain, severe diarrhea, or neurological symptoms"
Cefixime,"Suprax, Cefix",Antibiotic (cephalosporin),200–400 mg daily,Used for several bacterial infections; oral cephalosporin.,Do not share; complete full course.,"If allergic to penicillin, check cross-reactivity.","If rash, breathing difficulty, or worsening symptoms"
Doxycycline,"Doxy, Doxy 100",Antibiotic (tetracycline),100 mg twice daily for many uses,"Used for infections like acne, some respiratory infections, malaria prophylaxis.",Avoid sunlight (can make you sunburn); not for young children or pregnancy.,May stain teeth in children; take with water to avoid irritation.,If severe diarrhea or allergic reaction
Metronidazole,"Flagyl, Metrogyl",Antibiotic / Antiprotozoal,400–500 mg two to three times daily,"Used for certain bacterial and parasitic infections (abdominal, dental).",Avoid alcohol during and 48 hrs after treatment (can cause sick feeling).,"May cause metallic taste, nausea.",If numbness/tingling in hands or feet
Co-trimoxazole,"Septran, Bactrim",Antibiotic (sulfonamide),One double-strength tablet twice daily (varies),Used for urinary and some respiratory infections.,Can cause allergic reactions; stay hydrated.,Avoid if allergy to sulfa drugs.,"If rash, mouth sores, or jaundice"
Nitrofurantoin,"Macrobid, Macrodantin",Antibiotic (urinary),100 mg twice daily for uncomplicated UTI,Used for bladder infections (urinary tract).,Take with food; not suitable for kidney problems.,May cause dark urine color (harmless).,If breathing issues or fever with cough
Benzathine Penicillin,"Bicillin, Extencillin",Antibiotic (penicillin),Single IM injection for some infections (admin by clinician),Used for certain infections like rheumatic fever prevention / strep throat (clinician-admin).,Given by injection only; check allergy.,Carry out by healthcare provider.,If allergic reaction after injection
Levofloxacin,"Levaquin, Levo",Antibiotic (fluoroquinolone),500 mg once daily (varies),Used for various bacterial infections including chest infections.,Similar cautions to ciprofloxacin (tendon risk).,Avoid unnecessary use; do not share.,If tendon pain or severe diarrhea
Clarithromycin,"Biaxin, Klaricid",Antibiotic (macrolide),250–500 mg twice daily,Used for respiratory infections and H. pylori combinations.,Can interact with other meds; follow doctor's advice.,Report severe diarrhea or jaundice.,If irregular heartbeat or allergic reaction
Amoxicillin-Clavulanate,"Augmentin, Amoxyclav",Antibiotic (penicillin + inhibitor),625 mg twice daily (varies),Used for infections where bacteria make enzymes to resist simple penicillin.,Higher chance of stomach upset; complete course.,Watch for severe diarrhea or liver symptoms.,If severe abdominal pain or jaundice
Gentamicin (topical/eye),Gentak (eye drops),Antibiotic (aminoglycoside),Use as eye/ear drops as prescribed,Used for some eye/ear infections (topical).,Use only as prescribed; avoid prolonged application.,Systemic gentamicin is injectable and for hospital use.,If eye redness or worsening pain
Flucloxacillin,"Floxapen, Staphcillin",Antibiotic (penicillinase-resistant),500 mg 4 times daily (varies),Used for skin and soft tissue infections caused by staph bacteria.,Complete course; check liver if prolonged use.,Avoid alcohol with some antibiotics.,If yellowing of skin or dark urine
Phenoxymethylpenicillin (Pen V),"PenVee K, Penicillin V",Antibiotic (penicillin),250–500 mg every 6–8 hrs,Used for throat infections and mild infections.,Check allergy; complete course.,Follow dosing schedule; do not share.,If rash or breathing difficulty
Metformin,"Glycomet, Glucophage",Antidiabetic (biguanide),"500 mg twice daily (start low, max 2000 mg/day)",First-line medicine for type 2 diabetes to lower blood sugar.,Take with food to reduce stomach upset; monitor blood sugar.,May cause GI upset initially; rare lactic acidosis in kidney disease.,"If dizziness, severe abdominal pain, or breathing trouble"
Gliclazide,"Diamicron, Gliclazide",Antidiabetic (sulfonylurea),40–160 mg daily (varies),Helps release insulin to lower blood sugar in type 2 diabetes.,Can cause low blood sugar (carry sugary snack).,Take as prescribed; avoid alcohol.,"If fainting, sweating, or dizziness"
Glimepiride,Amaryl,Antidiabetic (sulfonylurea),1–4 mg once daily,Helps lower blood sugar; risk of hypoglycemia.,Take with breakfast; watch for low blood sugar.,Keep emergency sugar handy if symptoms appear.,If repeated low blood sugar episodes
Sitagliptin,Januvia,Antidiabetic (DPP-4 inhibitor),100 mg once daily,Helps control blood sugar by increasing incretin hormones.,Usually well tolerated; follow doctor’s dosing.,May cause joint pain rarely.,If severe abdominal pain or allergic reaction
Empagliflozin,Jardiance,Antidiabetic (SGLT2 inhibitor),10 mg once daily,Helps remove excess sugar through urine; can reduce weight.,May cause increased urination and genital infections; stay hydrated.,Check kidney function periodically.,"If fainting, severe infection, or ketoacidosis symptoms"
Amlodipine,"Norvasc, Amlogard",Antihypertensive (CCB),5–10 mg once daily,Used to lower high blood pressure and relieve chest pain.,May cause swelling in ankles and flushing; avoid sudden stopping.,Monitor blood pressure regularly.,If fainting or severe swelling
Losartan,"Cozaar, Losar",Antihypertensive (ARB),50 mg once daily (varies),Used for high blood pressure and protecting kidneys in diabetes.,Avoid in pregnancy; monitor potassium.,May cause dizziness on standing.,If pregnancy or severe lightheadedness
Enalapril,"Vasotec, Enalapril",Antihypertensive (ACE inhibitor),5–20 mg once or twice daily,Lowers blood pressure; may protect heart/kidneys.,Can cause dry cough; avoid in pregnancy.,Check kidney function and potassium.,If swelling of face/lips (angioedema)
Atenolol,"Tenormin, Atenolol",Antihypertensive (beta-blocker),25–100 mg once daily,Used for high blood pressure and heart rate control.,Do not stop abruptly; may cause fatigue or cold hands.,Check asthma history before use.,If breathing problems or slow heartbeat
Metoprolol,"Lopressor, Metoprolol",Beta-blocker,50–100 mg daily (varies),"Used for blood pressure, heart rhythm, and chest pain.",Can cause tiredness; do not stop suddenly.,Monitor pulse and blood pressure.,"If dizziness, fainting, or breathing trouble"
Propranolol,Inderal,Beta-blocker,40–160 mg divided doses,"Used for tremors, migraines, some heart conditions.",May worsen asthma; check with doctor.,Do not stop suddenly.,If breathing difficulty or very slow pulse
Atorvastatin,Lipitor,Statin (cholesterol),10–40 mg once daily,Used to lower cholesterol and reduce heart disease risk.,Take at any time of day; report unexplained muscle pain.,Avoid grapefruit with some statins.,If severe muscle pain or dark urine
Rosuvastatin,Crestor,Statin,5–20 mg once daily,Lowers cholesterol effectively.,Monitor liver tests if advised.,Report muscle pain or weakness.,If severe muscle pain or jaundice
Aspirin low-dose (cardiac),Ecosprin 75,Antiplatelet,75–150 mg once daily,Used for heart attack/stroke prevention (as advised by doctor).,Only take if prescribed; can increase bleeding risk.,Do not stop without consulting doctor.,If bleeding or sudden severe symptoms
Omeprazole,"Losec, Omez",Proton pump inhibitor (acid reducer),20 mg once daily,"Reduces stomach acid for heartburn, ulcers, reflux.",Take before meals; not for immediate relief (takes days).,"Long-term use needs monitoring (B12, bone).",If severe abdominal pain or black stools
Pantoprazole,"Pantop, Pantocid",PPI,40 mg once daily,Used for acid-related stomach issues.,Similar to omeprazole; follow duration instructions.,Avoid abrupt long-term use without review.,If severe gastric bleeding signs
Famotidine,Pepcid,H2 blocker,20 mg once or twice daily,Used for heartburn and acid reflux relief.,Short term use is fine; follow instructions.,Check interactions with other meds.,If severe stomach bleeding signs
Ondansetron,Zofran,Antiemetic (for nausea),4–8 mg as needed,Used to prevent nausea and vomiting (after surgery/chemo).,May cause constipation or headache.,Use as prescribed by clinician for severe nausea.,If severe constipation or allergic reaction
Loperamide,Imodium,Antidiarrheal,4 mg initially then 2 mg after each loose stool (max 8 mg OTC),Stops diarrhea by slowing gut movement.,Not for bloody diarrhea or feverish infections; short-term use only.,Avoid if high fever or suspicion of infection.,If diarrhea >48 hrs or blood in stool
Orlistat (OTC Xenical/Alli),"Orlistat, Alli",Weight-loss (lipase inhibitor),Alli 60 mg with meals,Helps reduce fat absorption with fatty meals.,Can cause oily stools and gas; follow low-fat diet.,Take multivitamin separately.,If severe abdominal pain or persistent diarrhea
Cetirizine,"Zyrtec, Cetzine",Antihistamine,10 mg once daily,"Used for allergy symptoms (sneezing, runny nose, itchy eyes).",May cause drowsiness in some people.,Avoid heavy machinery if drowsy.,If severe allergic reaction
Loratadine,"Claritin, Lorfast",Antihistamine,10 mg once daily,Non-drowsy allergy relief for sneezing and itching.,Usually non-drowsy but check response.,Follow dosing for children/adults.,If severe breathing difficulty
Levocetirizine,Xyzal,Antihistamine,5 mg once daily,"Relief from allergies, similar to cetirizine.",May cause drowsiness in some.,Adjust dose in kidney disease.,If severe symptoms
Pseudoephedrine,Sudafed,Decongestant,60 mg every 4–6 hrs (max 240 mg/day),Relieves nasal congestion temporarily.,Can raise blood pressure and heart rate; avoid if high BP.,Use short-term only.,If high blood pressure or chest pain
Phenylephrine,Various OTC,Decongestant,As per product,Milder nasal decongestant in many combos.,Less effective than pseudoephedrine for some; check labels.,Avoid combining multiple decongestants.,If chest symptoms or high BP
Gaviscon (antacid),Gaviscon,Antacid/alginate,Chew after meals/bedtime as needed,Relieves heartburn quickly by neutralizing acid and forming a barrier.,Short-term relief; follow instructions.,Avoid excessive long-term use.,If ongoing reflux or weight loss
